--------------------------------------------------------------------------------
	predicted_labels         	confidence score
--------------------------------------------------------------------------------
제2항에                     	0.9996
상호                       	0.9998
따라                       	0.7840
⊙)                       	0.2371
필요한                      	0.9904
영상회의실                    	0.9996
요청하면                     	0.9997
행정기관의                    	0.9999
장은                       	0.9978
관이                       	0.9854
장관이                      	0.9984
정한다.                     	0.9995
<개정                      	0.9913
다른                       	0.9989
사용을                      	0.9993
는                        	0.9999
적                        	1.0000
2014.                    	0.9003
2017.                    	0.9257
26.>                     	0.6300
기                        	0.9983
11.                      	0.7966
19.                      	0.5280
7.                       	0.7615
[전문개정                    	0.9915
극                        	0.9921
한다.                      	0.8569
협조하여야                    	0.9997
<개정                      	0.9942
2014.                    	0.5114
2017.                    	0.4074
2014.                    	0.8684
2014.                    	0.9992
18.」                     	0.7795
2.                       	0.9997
2.                       	0.9977
18.                      	0.6710
11.                      	0.5962
19..                     	0.8990
26.)>                    	0.4753
7.                       	0.7012
정부청사관리소장=                	0.7052
규정한                      	0.9996
제3항까지에서                  	0.8143
외에                       	0.9999
영상회의실                    	0.7654
사항                       	0.9999
및                        	0.9999
다음                       	0.9999
제1항부터                    	0.5933
정부                       	0.9637
각                        	1.0000
43조의2(정부영상회의습            	0.6352
운영요원)                    	0.6068
호                        	0.9997
4                        	0.1814
정부서울청사,                  	0.9800
영상회의실의                   	0.9986
설치·운영,                   	0.9168
필요한사항은                   	0.5940
행정안전부령으                  	0.6304
의                        	1.0000
업무를                      	0.9996
정부영상회의실                  	0.8127
운영요원을                    	0.8483
지정                       	1.0000
등에                       	0.9999
담당하는                     	0.8211
정                        	1.0000
<개정                      	0.5651
정부대전청사                   	0.9993
정한다.                     	0.9994
부과천청사,                   	0.9988
등에                       	1.0000
배치하여야                    	0.9816
및                        	1.0000
정부세종청사                   	0.9425
한다.                      	0.7933
로                        	0.9998
2014.                    	0.8500
2014.                    	0.8974
26.>                     	0.9804
2017.                    	0.4575
7.                       	0.9493
2.                       	0.7897
18.                      	0.9703
11.                      	0.7411
19..                     	0.7934
운영·관리                    	0.9751
삭제                       	0.9695
장비의                      	0.9557
5)                       	0.7932
정부영상회의시스템                	0.5167
관련                       	0.5380
및                        	0.9996
<2014.                   	0.8941
18.>                     	0.8332
2.                       	0.9995
1.                       	0.9993
제목개정                     	0.6857
각종                       	0.9987
전용회선의                    	0.9352
관리                       	0.9992
2014.                    	0.7228
18.]                     	0.1193
2.                       	0.9913
2.                       	0.9996
정부영상회의실의                 	0.8844
보안관리                     	0.7112
3.                       	0.9982
제1호부터                    	0.9995
사항                       	1.0000
외에                       	0.9947
정부영상회의                   	0.9670
규정한                      	0.9997
운                        	1.0000
제3호까지에서                  	0.9977
4.                       	0.8449
업무                       	0.9999
필요한                      	0.5315
영을                       	0.9990
위하여                      	1.0000
본조신설                     	0.9518
2014.                    	0.9974
18.]                     	0.5768
2.                       	0.9996
사용하려는                    	0.7132
기관은                      	0.9997
정부영상회의실을                 	0.7445
회의                       	1.0000
개최                       	0.9994
제44조(사용신청)               	0.9083
①                        	0.5323
329                      	0.9998
--------------------------------------------------------------------------------
	predicted_labels         	confidence score
--------------------------------------------------------------------------------
-330-                    	0.5206
시행구인                     	0.0139
축진에                      	0.0180
협업                       	0.9836
구정                       	0.1507
관한                       	0.8749
협움                       	0.1563
행정                       	0.9994
읍과                       	0.7412
금읍과                      	0.1417
접조어                      	0.1109
관화                       	0.8590
교성                       	0.2273
사용신청을                    	0.6926
하여야                      	0.9997
전까지                      	0.9994
정부청사관리소장에게 정             	0.0353
하며,                      	0.9077
 2일                      	0.7477
일                        	0.9999
정                        	1.0000
사용가능                     	0.5773
여부를                      	0.9996
지체                       	1.0000
부청사관리소장은                 	0.7917
정부영상회의실의                 	0.8284
없이                       	0.9997
통보하여야                    	0.9997
한다.                      	0.5687
사용신청은                    	0.7563
제11호서식에                  	0.6983
따른                       	0.9980
정부영상회의실                  	0.9984
별지                       	0.9717
제1항에                     	0.9949
②)                       	0.6095
이용하여                     	1.0000
정보통신망                    	0.9965
신청할                      	0.9999
경우                       	0.9910
팩스                       	0.9747
등을                       	0.9994
수                        	1.0000
따른다.                     	0.9894
또는                       	0.9999
이                        	1.0000
있다.                      	0.9831
①행정기관의                   	0.9902
58조(영상회의시스템의             	0.9195
장은                       	0.9985
영상                       	0.7858
구축                       	0.9999
및                        	1.0000
연계·운                     	0.4399
운영)                      	0.7912
회의시스템을                   	0.9988
경우에                      	0.9394
사유가                      	0.8360
행정안전부                    	0.9996
구축하는                     	0.9994
특별한                      	0.9988
없으면                      	0.9989
행정기관                     	0.9428
장관이                      	0.9955
정하는                      	1.0000
기술규격에                    	0.9790
하여                       	0.9899
다른                       	0.9993
적합하도록                    	0.7211
등의                       	1.0000
영상회의시스템과                 	0.9993
연계하여                     	0.9997
한다.                      	0.9739
<개정                      	0.9922
운영할                      	0.9999
수                        	1.0000
하여야                      	0.9999
있도록                      	1.0000
2013.                    	0.8307
2014.                    	0.5164
2014.                    	0.3290
26.>                     	0.5874
23..,                    	0.3041
3.                       	0.8101
2017.                    	0.9281
18.                      	0.7804
11.                      	0.9664
19..                     	0.2615
7.                       	0.9265
2.                       	0.9997
행정안전부장관은                 	0.9980
영상회의실의                   	0.9276
연계를                      	0.9998
원활히                      	0.9928
이용                       	0.9998
하고,                      	0.9233
편                        	0.9992
②                        	0.9996
의를                       	0.9999
높이기                      	0.9312
위하여                      	1.0000
공통기반                     	0.9990
통합                       	0.9997
시스템을                     	0.9983
구축·운영할                   	0.8864
및                        	0.9998
이용                       	0.9999
<신설                      	0.8702
있다.                      	0.9192
수                        	1.0000
2014.                    	0.9993
2014.                    	0.3540
7.                       	0.8006
26.)>                    	0.4958
2017.                    	0.7451
11.                      	0.9700
2.                       	0.9978
18.                      	0.9954
19.                      	0.7205
장은                       	0.9961
원격지에                     	0.9981
행정기관의                    	0.8725
위                        	1.0000
①                        	0.9968
제59조(영상회의시스템             	0.9981
활성화)                     	0.5199
이용                       	1.0000
영상회의를                    	0.8985
기관                       	0.9160
간에                       	0.9997
회의를                      	0.9998
개최하는                     	0.9985
경우                       	0.9999
우선적으로                    	0.9989
치한                       	0.9998
활                        	0.9988
용하여야                     	0.7062
한다.                      	0.9888
활용하여야                    	0.8818
행정안전부장관은                 	0.9984
영상회의를                    	0.7025
하는                       	0.7450
주요                       	0.9999
회의와                      	1.0000
이                        	1.0000
②                        	0.9993
행정기관의                    	0.7855
장에게                      	0.9177
영상회의를                    	0.5870
적극                       	0.9991
정하여                      	1.0000
목표를                      	0.9992
활용할                      	0.9991
것                        	0.9994
용                        	0.9999
행정기관의                    	0.8814
장은                       	0.9992
특별한                      	0.9947
요청할                      	0.9999
있다.                      	0.9921
경우                       	0.9995
사유가                      	1.0000
을                        	0.9861
수                        	1.0000
없으                       	0.9975
이                        	1.0000
요청에                      	0.9999
<개정                      	0.9922
따라야                      	0.9992
한다.                      	0.6967
면                        	0.9987
26.>                     	0.6445
2014.                    	0.9394
2017.                    	0.8362
7.                       	0.9676
11.                      	0.8962
19..                     	0.3046
--------------------------------------------------------------------------------
	predicted_labels         	confidence score
--------------------------------------------------------------------------------
협업                       	0.8272
접조이                      	0.0519
관한                       	0.9994
규정                       	0.7334
행정                       	0.9670
▶읍과                      	0.0237
협업                       	0.9320
총진에                      	0.0359
행정기관의                    	0.9938
행정안전부장관은                 	0.9995
활용실적을                    	0.3861
영상회의                     	0.9999
정기적으                     	0.9979
③)                       	0.1829
점검·평가할                   	0.8676
<개정                      	0.9929
수                        	0.9868
있다.                      	0.7424
26.)>                    	0.4321
2017.                    	0.3237
2014.                    	0.9974
19.,                     	0.4514
11                       	0.6541
7.                       	0.9282
로                        	0.9998
장은                       	0.9992
기관의                      	0.9998
영상회의를                    	0.6620
해당                       	0.9999
총괄적으로                    	0.5632
관리하기                     	0.9999
행정기관의                    	0.7413
②                        	0.3242
영상회의                     	0.9998
전담부서를                    	0.5001
지정하여야                    	0.9993
위하여                      	0.9998
책임관과                     	0.9977
한다.                      	0.9992
영상회의                     	0.8847
과오교단                     	0.0114
영상회의                     	0.9826
영상회의                     	0.9996
책임관은                     	0.9988
해당                       	0.9954
영상회의                     	0.9999
기관의                      	0.9997
현황                       	0.9422
및                        	0.9998
실                        	0.9998
65)                      	0.2429
적관리.                     	0.4863
수립·이행                    	0.9582
수행한다.                    	0.7041
영상회의                     	0.9996
계획의                      	0.9995
임무를                      	0.9990
활성화                      	0.9267
등의                       	0.9999
영상회의                     	0.9706
위하여                      	1.0000
영상                       	0.9727
행정안전부장관은                 	0.4009
행정기관의                    	0.9999
활성화를                     	0.9993
66)                      	0.3035
개최,                      	0.9824
책임관                      	0.9965
회의                       	0.9999
영상회의                     	0.9999
회의                       	1.0000
행정기관별                    	0.6025
이용                       	0.9999
및                        	0.9998
교육,                      	0.7395
홍보                       	0.9997
활용                       	0.9978
등을                       	0.9960
영상회의                     	0.7426
우수기관                     	0.9535
우수사례                     	0.8273
감·공유                     	0.1643
포상                       	0.5671
할                        	1.0000
수                        	1.0000
및                        	0.9998
발굴·                      	0.2720
<개정                      	0.9973
있다.                      	0.6002
26.>                     	0.9653
2014.                    	0.6067
2017.                    	0.9822
7.                       	0.9790
11.                      	0.9459
19..                     	0.5274
전문개정                     	0.9951
2014.                    	0.9523
18.」                     	0.5691
2.                       	0.9436
관리                       	1.0000
제4장                      	0.9999
행정업무의                    	0.5555
관리                       	1.0000
행정업무의                    	0.9895
제4장                      	0.9998
처리과의                     	1.0000
장은                       	0.9984
각                        	1.0000
효율적으로                    	0.9918
처리하고                     	1.0000
제60조(업무의                 	0.4631
업무를                      	0.9990
분장)                      	0.5225
명확하게                     	0.8727
분장                       	0.5438
책임소재를                    	0.9988
하기                       	0.9999
위하여                      	1.0000
업무를                      	0.9920
단위업무별로                   	0.9949
소관                       	0.9859
업무량이                     	0.9998
간의                       	1.0000
이률                       	0.6711
하되,                      	0.9883
공무원                      	0.3122
균형을                      	0.9962
있도록                      	1.0000
하여야                      	0.4573
소속                       	0.9978
수                        	1.0000
한다.                      	0.9739
업무관리시스                   	0.9995
인계·인수)                   	0.9438
인사발령                     	0.9881
제61조제1항에                 	0.9786
따라                       	0.9994
조직개편                     	0.9664
공무원이                     	0.9999
제61조(업무의                 	0.8670
업무                       	0.9999
제45조(업무의                 	0.9975
인계                       	0.9951
①                        	0.9161
또는                       	0.9997
영                        	1.0000
인수)                      	0.9865
①                        	0.9800
등의                       	0.9999
사유로                      	0.9994
업무를                      	0.9994
인계·인수할                   	0.6938
업무에                      	1.0000
계·인수하는                   	0.9722
사람은                      	0.9353
때에는                      	0.9893
해당                       	0.9997
템이나                      	0.9020
전자문서시스템을                 	0.8078
이용하여                     	1.0000
업무를                      	0.9988
분장                       	0.9997
인계-                      	0.8247
조정                       	1.0000
사항이                      	0.9749
행정안전부령으로                 	0.6907
별지                       	1.0000
작성하여야                    	0.9974
구체적으로                    	0.9962
나타나도록                    	0.5562
정하                       	0.9994
관한                       	0.9981
업무인계·인수서를                	0.5400
한다.                      	0.9687
모든                       	0.9990
제12호서식의                  	0.5266
후임자가                     	0.9907
경우와                      	0.9980
업무관리시스템이나                	0.9989
전자문서시스템을                 	0.9995
정해지지                     	1.0000
사유로                      	0.9975
후임                       	0.9954
바에                       	0.9999
따라                       	0.9994
이용하여                     	0.9976
밖의                       	0.9406
특별한                      	0.9993
아니한                      	0.9992
그                        	0.5407
인                        	0.9960
②2)                      	0.6263
는                        	1.0000
331                      	0.9935
--------------------------------------------------------------------------------
	predicted_labels         	confidence score
--------------------------------------------------------------------------------
-332-                    	0.6137
행칠                       	0.1080
금율과                      	0.2485
협업                       	0.9842
협업                       	0.7913
촉진이                      	0.2832
구정                       	0.3209
촉조이                      	0.0290
행정                       	0.9997
깊읍과                      	0.0992
관한                       	0.7378
관한                       	0.9991
규정                       	0.8540
I·인수하여야                  	0.2737
대리하는                     	0.9641
한다.                      	0.8478
자에게                      	0.9342
인계할                      	0.9997
직무를                      	0.9995
사람                       	0.9795
업무를                      	0.9985
경우에는                     	0.6893
<개정                      	0.9846
없는                       	0.9993
계                        	0.9998
2013.                    	0.9662
수                        	1.0000
2014.                    	0.5305
그                        	0.9999
23.                      	0.9905
2017.                    	0.8484
3.                       	0.8137
19..                     	0.8937
11.                      	0.5059
업무를                      	0.9999
인계하고,                    	0.9514
사람은                      	0.6876
후임자가                     	0.9963
에게                       	0.9998
직무를                      	0.9998
인수                       	0.9889
대리하는                     	0.9999
26.)>                    	0.8585
그                        	0.9999
7.                       	0.9479
장은                       	0.8446
되었을                      	0.9970
행정기관의                    	0.9999
제1항에                     	0.5565
따른                       	0.9994
인계·인수가                   	0.9394
원활하게                     	0.9962
즉시                       	0.9963
인계하여야                    	0.9990
이루어                      	0.9407
할                        	0.9731
때에                       	0.9878
한다.                      	0.9307
수                        	1.0000
있게                       	0.9999
○2)                      	0.2573
기능분류시스템의                 	0.9968
최신의                      	0.9999
정보로                      	0.9997
유지하여                     	0.8659
수                        	1.0000
자료를                      	0.9767
질                        	0.5715
있도록                      	1.0000
한다.                      	0.9669
야                        	0.9978
활용)                      	0.9463
상당                       	1.0000
걸쳐                       	0.7546
반복                       	0.9997
따른                       	0.9989
행정기관이                    	0.8582
기간에                      	0.9998
제62조제2항제2호에              	0.9986
제62조(업무편람의               	0.5435
작성                       	0.9990
제46조(직무편람의               	0.6148
작성                       	0.9933
관리                       	0.7376
①                        	0.9946
등)                       	0.9996
①                        	0.9299
영                        	1.0000
직무편람(이하                  	0.8569
하는                       	0.9991
업무의                      	1.0000
처리가                      	1.0000
"직무편람"이라                 	0.9261
사유가                      	1.0000
없으면                      	0.9991
행                        	1.0000
적으로                      	0.9978
업무는                      	0.9998
표준화·전문화될                 	0.8117
수                        	1.0000
있도록                      	1.0000
한다)은                     	0.9998
특별한                      	0.9990
그                        	0.5858
원칙으로                     	0.9274
작성하여                     	0.7924
활용하는                     	0.9769
정기관의                     	0.9985
직제에                      	0.9996
규정된                      	0.9998
업무편람을                    	0.9839
것을                       	0.9874
최하                       	1.0000
단위                       	0.9925
부서별로                     	0.9456
한다.                      	0.9996
작성하여야                    	0.5977
처                        	1.0000
하며                       	0.9991
직무편람으                    	0.9416
수정하거나                    	0.9793
업무편람은                    	0.8577
행정편람과                    	0.9667
정기적으로                    	0.9229
다음                       	0.9912
각                        	0.9999
구분에                      	0.9993
따라                       	0.9659
리과의                      	1.0000
장은                       	0.9991
내용을                      	0.9995
호의                       	0.9994
또는                       	0.5538
수시로                      	0.8710
보완                       	0.9974
그                        	0.9999
②)                       	0.7057
하여야                      	0.9998
한다.                      	0.9262
구분한다.                    	0.9978
로                        	0.9973
업무처리                     	0.9999
절차와                      	0.9938
장비운용                     	0.5060
일상                       	0.9995
기준,                      	0.9877
방법,                      	0.9748
다음 각                     	0.4762
사항을                      	0.9999
행정편람:                    	0.9271
그밖의                      	0.9644
직무편람은                    	0.7952
포함하여                     	0.8928
작성되어야                    	0.9991
하며,                      	0.9925
호의                       	0.9993
업                        	0.9998
②2)                      	0.2618
1.                       	0.9986
등에                       	1.0000
계·인수할                    	0.9500
함께                       	0.9995
인계·인수하여야                 	0.9437
관하여                      	0.9999
업무담당자에게                  	0.9997
직무편람을                    	0.8880
근무규칙                     	0.9995
각                        	1.0000
필요한                      	0.5111
지침·기준                    	0.9824
때에는                      	0.9911
한다.                      	0.9792
무를                       	0.9998
적                        	0.9992
제공하는                     	0.9743
업무                       	0.9999
현황                       	0.9641
주요업무계획                   	0.9997
지식을                      	0.7143
업무지도서                    	0.8826
관련                       	1.0000
업무참고서                    	0.9997
업무                       	0.9999
연력,                      	0.1472
및                        	0.9999
또는                       	0.5183
또는                       	0.9998
등                        	1.0000
1.                       	0.5754
따라                       	0.9998
단위업무에                    	0.9847
업무계                      	0.9998
직무편람:                    	0.9771
분장하는                     	0.4215
대한                       	0.9999
처리절차                     	0.8818
업무의                      	0.9999
흐도                       	0.2725
제60조에                    	0.9845
및                        	0.9997
2.                       	0.9996
2.                       	0.9996
업무현황                     	0.8084
밖의                       	0.9712
등을                       	0.9229
체계적으로                    	0.9937
보존문서                     	0.9976
현황                       	0.9919
참고자료                     	0.9998
정리한                      	0.9998
업                        	0.9998
소관                       	0.9999
획,                       	0.9549
및                        	0.9993
그                        	0.9999
3.                       	0.9987
자료철                      	0.9968
밖의                       	0.7870
업무처리에                    	0.9974
참고사항                     	0.9298
필요한                      	0.9885
무                        	0.9999
등                        	1.0000
그                        	0.9339
4.                       	0.9983
행정기                      	0.9998
장은                       	0.9991
행정편람을                    	0.5303
필요하면                     	0.9651
관의                       	1.0000
발간할                      	0.9999
기관의                      	0.9998
③                        	0.2618
때                        	0.9864
공                        	0.9085
그                        	0.9999
관계                       	0.9999
전문가에게                    	0.9999
있다.                      	0.6056
무원이나                     	0.9988
자문할                      	0.9993
수                        	1.0000
장은                       	0.9970
정책의                      	0.9997
행정기관의                    	0.8723
주요                       	0.9998
실명                       	0.9997
관리)                      	0.9124
결정이나                     	0.8008
①                        	0.9953
제63조(정책의                 	0.7958
사항을                      	0.9999
다음                       	0.9926
종합적으로                    	0.9882
록·관리하여                   	0.8854
집행과                      	0.9943
관련되는                     	0.9517
호의                       	0.9992
각                        	1.0000
기록                       	0.9985
한다.                      	0.9257
야                        	0.9868
--------------------------------------------------------------------------------
	predicted_labels         	confidence score
--------------------------------------------------------------------------------
금o읍과                     	0.1149
협업                       	0.9783
촉진이                      	0.1442
관한                       	0.9992
규정                       	0.9862
행정                       	0.9994
▶읍과                      	0.0237
협업                       	0.9826
총진에                      	0.0359
과정에                      	0.9999
관련자의                     	0.9994
정책의                      	0.9995
집행                       	1.0000
결정과                      	0.9230
참여한                      	0.9997
소속,                      	0.8814
주요                       	0.9999
직급                       	0.9998
1.                       	0.9998
의견                       	0.9990
성명과                      	0.9999
직위,                      	0.9684
그                        	0.9999
또는                       	0.8349
정책의                      	0.9982
결정이나                     	0.9984
집행과                      	0.9998
관련된                      	0.9075
각종                       	1.0000
계획서                      	0.9998
주요                       	0.9999
보고서,                     	0.8295
회                        	1.0000
2.                       	0.9914
관련                       	1.0000
·공청회·세미나                 	0.3464
자료                       	0.9987
토의내용                     	0.9995
및                        	0.9998
그                        	0.8768
행정기관의                    	1.0000
결정을                      	0.8397
정책의                      	0.9989
위하여                      	1.0000
회의·공청회·                  	0.7489
장은                       	0.9976
주요                       	1.0000
②2)                      	0.6213
발언내용,                    	0.5692
미나                       	0.9854
개최하는                     	0.8389
경우에는                     	0.9777
일시,                      	0.9789
참석자,                     	0.9967
결정사항,                    	0.8058
등을                       	0.9999
처리과의                     	0.9484
직원으로                     	0.9981
하여금                      	0.9985
하여야                      	0.9998
표결내용                     	0.9271
기록하게                     	0.9998
한다.                      	0.9575
등을                       	0.9968
언론기관에                    	0.9959
경우에는                     	0.9999
제공하는                     	0.9990
행정기관이                    	1.0000
보도자료를                    	0.9998
보도                       	1.0000
③                        	0.3516
그                        	0.7232
담당부서                     	0.9998
담당자·연락처                  	0.8806
등을                       	0.9976
함께                       	0.9998
자료에                      	0.9998
적어야                      	0.9937
한다.                      	0.5481
해당                       	0.9987
행정기관의                    	0.9942
기관의                      	0.9999
장은                       	0.6436
제63조의2(정책실명제             	0.3037
지정)                      	0.5521
①                        	0.9874
책임관                      	0.9948
운영하기                     	0.9998
위하여                      	1.0000
해당                       	0.9999
정책실명제를                   	0.9981
기획조정실장                   	0.9993
효율적으로                    	0.9910
등                        	0.9999
기관의                      	0.8876
업무를                      	0.9994
공무원을                     	0.6719
정책실명제                    	0.9957
기획                       	0.9988
총괄하는                     	0.7901
직위에                      	0.9997
있는                       	0.9999
책임관으로                    	0.5160
지정하여야                    	0.9992
한다.                      	0.8506
책임관은                     	0.9950
수행한다.                    	0.6939
정책실명제                    	0.9993
임무를                      	0.9989
다음                       	1.0000
각                        	1.0000
호의                       	0.9989
②)                       	0.5296
활성화                      	0.9527
수립                       	0.9975
시행                       	1.0000
정책실명제                    	0.9992
계획                       	0.9996
해당                       	0.9999
기관의                      	0.9812
및                        	0.9995
1.                       	0.9915
대상사업                     	0.9999
선정                       	0.9956
정책실명제                    	0.9992
해당                       	0.9996
추진실적                     	0.9996
공개                       	0.9283
기관의                      	0.9703
및                        	0.9996
2.                       	0.9996
자체                       	0.9998
교육                       	0.8159
및                        	0.9997
평가                       	0.9997
3.                       	0.9990
정책실명제                    	0.9991
위하여                      	0.9957
해당                       	0.9991
기관의                      	0.9999
운영을                      	0.9887
업무                       	0.9998
밖에                       	0.9486
필요한                      	0.9860
그                        	0.9999
4.                       	0.9997
본조신설                     	0.9998
2014.                    	0.9395
18.]                     	0.7338
2.                       	0.9993
행정기관의                    	0.9996
다음                       	0.9999
선정)                      	0.9095
장은                       	0.9609
중점관리                     	0.9962
대상                       	0.9999
제63조의3(정책실명제             	0.5931
①                        	0.9904
·사리                      	0.0251
사항                       	0.9999
중에서                      	0.9990
정책실명제                    	0.9990
중점관리                     	0.9984
대상사업을                    	0.9996
선정하여                     	1.0000
호의                       	0.9996
각                        	0.9984
333                      	0.9998
--------------------------------------------------------------------------------
	predicted_labels         	confidence score
--------------------------------------------------------------------------------
-334-                    	0.2871
금읍과                      	0.5654
협업                       	0.9735
총지에                      	0.2494
협재                       	0.0985
접조00                     	0.1781
관화                       	0.8698
행정                       	0.7851
등읍과                      	0.0316
규정                       	0.3886
관리하여야                    	0.9997
<개정                      	0.9973
한다.                      	0.9995
2018.                    	0.9972
11.                      	0.9823
27.>                     	0.9196
국정                       	0.9266
관한                       	1.0000
사항                       	0.9999
주요                       	1.0000
현안에                      	0.9999
1.                       	0.9913
사업                       	1.0000
예산이                      	1.0000
투입되는                     	0.9942
대규모                      	0.9998
2.                       	0.9996
연구용역                     	0.8553
이상의                      	0.9999
일정                       	0.9999
규모                       	0.9989
3.                       	0.9950
제정·개정                    	0.9750
법령                       	0.9986
자치법규의                    	0.9971
폐지                       	0.9733
및                        	0.9054
또는                       	1.0000
4.                       	0.9979
절차에                      	0.9984
따라                       	0.9989
행정안전부장관이                 	0.9837
정한                       	0.9999
따라                       	0.9674
제63조의5제1항에               	0.6807
5.                       	0.9933
사업                       	0.9999
신청한                      	0.9999
국민이                      	1.0000
사업                       	1.0000
밖에                       	0.7216
중점관리가                    	0.5937
필요한                      	0.9936
그                        	0.9999
6.                       	0.8359
행정기관의                    	0.9528
제1항에                     	0.9964
대상사업                     	0.9796
장은                       	0.6276
따른                       	0.9988
정책실명제                    	0.6844
중점관리                     	0.9986
②②)                      	0.4200
심의위원회를                   	0.9532
자체                       	0.9988
세부                       	0.9997
마련하고,                    	0.8138
선정을                      	0.9997
위하여                      	0.9999
구성하                      	1.0000
기준을                      	0.9985
심의를                      	0.9922
여                        	1.0000
거진                       	0.6516
대상사업을                    	0.9998
선정하여야                    	0.9184
한다.                      	0.8026
후                        	0.9999
장은                       	0.7186
대상사업의                    	0.9995
추진실적을                    	0.9984
행정기관의                    	0.9999
정책실명제                    	0.9855
중점관리                     	0.9907
3)                       	0.4947
기관의                      	0.9999
홈페이지                     	0.9807
공개하여야                    	0.9997
한다.                      	0.9930
해당                       	0.9994
인터넷                      	0.9924
등을                       	0.9996
통하여                      	1.0000
다                        	1.0000
정보공개에                    	0.9975
법률」                      	0.9035
따른                       	0.9984
비공개                      	0.9995
「공공기관의                   	0.5688
관한                       	0.9801
제9조에                     	0.9998
대                        	0.9999
만,                       	0.9653
정보에                      	1.0000
해당하는                     	0.9988
경우에는                     	0.9998
그러하지                     	0.8050
아니하다.                    	0.8289
상                        	1.0000
본조신설                     	0.9992
2014.                    	0.8997
18.]                     	0.8868
2.                       	0.9841
행정안전부장관은                 	0.9989
정책실명제의                   	0.9991
활성화                      	0.9993
제63조의4(정책실명제             	0.7051
평가)                      	0.9999
정책실명제                    	0.9957
위하여                      	1.0000
경우                       	0.9787
행정기관의                    	0.9999
추진실적                     	0.9992
등을                       	0.9758
필요한                      	0.9796
각                        	1.0000
를                        	0.9723
<개정                      	0.9922
평가할                      	0.9995
있다.                      	0.7021
수                        	1.0000
2014.                    	0.5232
26.>                     	0.5169
2017.                    	0.9953
11.                      	0.9470
7.                       	0.9767
19.,                     	0.5691
[본조신설                    	0.8336
2014.                    	0.6813
18.]                     	0.5868
2.                       	0.9992
정책실명제                    	0.9988
대상사업                     	0.9658
제63조의5(정책실명제             	0.6576
세부                       	0.9999
중점관리                     	0.9910
규정)                      	0.8518
①                        	0.9925
--------------------------------------------------------------------------------
	predicted_labels         	confidence score
--------------------------------------------------------------------------------
읍과                       	0.9220
협업                       	0.9821
접조이                      	0.1040
관한                       	0.9963
규정                       	0.7507
행정                       	0.9994
읍과                       	0.4778
협업                       	0.9844
추3에                      	0.0322
심의위원회의                   	0.9313
정책실명제                    	0.9991
추진실적                     	0.9996
평가기준                     	0.9989
선정,                      	0.7351
구성,                      	0.9116
및                        	0.9998
그                        	0.9991
밖에                       	0.8000
정책실명제                    	0.9992
세부                       	0.9994
위하여                      	1.0000
필요한                      	0.9888
사항은                      	0.9999
운영을                      	0.9993
행정안전부장                   	0.9997
정한다.                     	0.9301
<개정                      	0.9923
관이                       	0.9943
2017.                    	0.7589
26.>                     	0.9685
2014.                    	0.9972
7.                       	0.9962
11.                      	0.8791
19.                      	0.4794
영에서                      	0.9999
정책                       	0.9997
사항                       	0.8979
외에                       	0.9999
지방자치단체에서                 	0.9992
운영하는                     	0.5668
규정한                      	0.9999
이                        	1.0000
○2)                      	0.5959
실명제의                     	0.9988
대상                       	0.9779
등에                       	0.9999
세부                       	0.9994
범위                       	0.9985
관하여                      	1.0000
해당                       	0.9977
사항은                      	0.9999
필요한                      	0.9960
지                        	1.0000
및                        	0.9997
방자치단체의                   	0.9992
정할                       	0.9999
<개정                      	0.9795
있다.                      	0.7134
조례로                      	0.8737
수                        	1.0000
2017.                    	0.5427
